M	WNINDT
Cincinnati	12/20/21 @ 10:30PM	WKONDT2
Cincinnati	12/22/21 @ 2:30AM	WCVNDT2
Cincinnati	12/22/21 @ 2:30AM	WKONDT2
Evansville	12/7/21 @ 4:30AM	WKMADT
Evansville	12/7/21 @ 4:30AM	WKOHDT
Evansville	12/14/21 @ 9:30PM	WKMADT
Evansville	12/14/21 @ 9:30PM	WKOHDT
Evansville	12/16/21 @ 2:30AM	WKMADT
Evansville	12/16/21 @ 2:30AM	WKOHDT
Evansville	12/20/21 @ 9:30PM	WKMADT2
Evansville	12/20/21 @ 9:30PM	WKOHDT2
Evansville	12/22/21 @ 1:30AM	WKMADT2
Evansville	12/22/21 @ 1:30AM	WKOHDT2
Lexington	12/7/21 @ 5:30AM	WKHADT
Lexington	12/7/21 @ 5:30AM	WKLEDT
Lexington	12/7/21 @ 5:30AM	WKMRDT
Lexington	12/7/21 @ 5:30AM	WKSODT
Lexington	12/14/21 @ 10:30PM	WKHADT
Lexington	12/14/21 @ 10:30PM	WKLEDT
Lexington	12/14/21 @ 10:30PM	WKMRDT
Lexington	12/14/21 @ 10:30PM	WKSODT
Lexington	12/16/21 @ 3:30AM	WKHADT
Lexington	12/16/21 @ 3:30AM	WKLEDT
Lexington	12/16/21 @ 3:30AM	WKMRDT
Lexington	12/16/21 @ 3:30AM	WKSODT
Lexington	12/20/21 @ 10:30PM	WKLEDT2
Lexington	12/20/21 @ 10:30PM	WKHADT2
Lexington	12/20/21 @ 10:30PM	WKMRDT2
Lexington	12/20/21 @ 10:30PM	WKSODT2
Lexington	12/22/21 @ 2:30AM	WKLEDT2
Lexington	12/22/21 @ 2:30AM	WKHADT2
Lexington	12/22/21 @ 2:30AM	WKMRDT2
Lexington	12/22/21 @ 2:30AM	WKSODT2
Louisville	12/7/21 @ 5:30AM	WKPCDT
Louisville	12/7/21 @ 5:30AM	WKZTDT
Louisville	12/14/21 @ 10:30PM	WKPCDT
Louisville	12/14/21 @ 10:30PM	WKZTDT
Louisville	12/16/21 @ 3:30AM	WKPCDT
Louisville	12/16/21 @ 3:30AM	WKZTDT
Louisville	12/20/21 @ 10:30PM	WKMJDT2
Louisville	12/20/21 @ 10:30PM	WKPCDT2
Louisville	12/20/21 @ 10:30PM	WKZTDT2
Louisville	12/22/21 @ 2:30AM	WKMJDT
Louisville	12/22/21 @ 2:30AM	WKPCDT2
Louisville	12/22/21 @ 2:30AM	WKZTDT2
Paducah-Cape Girard	12/7/21 @ 4:30AM	WKMUDT
Paducah-Cape Girard	12/7/21 @ 4:30AM	WKPDDT
Paducah-Cape Girard	12/14/21 @ 9:30PM	WKMUDT
Paducah-Cape Girard	12/14/21 @ 9:30PM	WKPDDT
Paducah-Cape Girard	12/16/21 @ 2:30AM	WKMUDT
Paducah-Cape Girard	12/16/21 @ 2:30AM	WKPDDT
Paducah-Cape Girard	12/20/21 @ 9:30PM	WKMUDT2
Paducah-Cape Girard	12/20/21 @ 9:30PM	WKPDDT2
Paducah-Cape Girard	12/22/21 @ 1:30AM	WKMUDT2
Paducah-Cape Girard	12/22/21 @ 1:30AM	WKPDDT2
‌
Louisiana
Market	Date & Time	Station
New Orleans	12/17/21 @ 10:30PM	WYESDT
New Orleans	12/20/21 @ 3:30AM	WYESDT
‌
Michigan
Market	Date & Time	Station
Alpena	12/5/21 @ 1:30AM	WCMLDT
Alpena	12/14/21 @ 10:30PM	WCMLDT
Alpena	12/15/21 @ 5:00PM	WCMLDT
Alpena	12/19/21 @ 12:30PM	WCMLDT
Detroit	12/20/21 @ 5:30PM	WTVSDT
Detroit	12/22/21 @ 8:00PM	WTVSDT5
Detroit	12/25/21 @ 8:00PM	WTVSDT5
Flint-Saginaw	12/5/21 @ 1:30AM	WCMUDT
Flint-Saginaw	12/5/21 @ 1:30AM	WCMZDT
Flint-Saginaw	12/14
